video_id,skill_id,title,traditional_relevance,depth,clarity,practical_examples_count,instructional_language
lLRBYKwP8GQ,numpy_array_manipulation,Ultimate Guide to NumPy Arrays - VERY DETAILED TUTORIAL for beginners!,4,3,3,2,5
xECXZ3tyONo,numpy_array_manipulation,Learn NUMPY in 5 minutes - BEST Python Library!,4,3,2,0,5
QUT1VHiLmmI,numpy_array_manipulation,Python NumPy Tutorial for Beginners,4,3,3,1,5
9fcTq8PDWWA,numpy_array_manipulation,Introduction to NumPy Arrays for Beginners - Learn NumPy Series,1,2,3,0,5
VXU4LSAQDSc,numpy_array_manipulation,Learn NumPy in 1 hour! 🔢,4,3,5,2,5
rN0TREj8G7U,numpy_array_manipulation,numpy tutorial - introduction | numpy array vs python list,2,3,3,0,5
NYPKbmE0H6E,numpy_array_manipulation,#29 Python Tutorial for Beginners | Ways of Creating Arrays in Numpy,1,3,3,0,5
EnhgbolbEe0,numpy_array_manipulation,NumPy multidimensional arrays are easy! 🧊,2,2,5,0,5
CVyIbakZVEM,numpy_array_manipulation,Python Programming Language(English) #015  |Python String| From Zero to Hero| 2025,1,2,4,0,5
8JfDAm9y_7s,numpy_array_manipulation,Python NumPy Tutorial | NumPy Array | Python Tutorial For Beginners | Python Training | Edureka,4,3,3,2,5
Gc-dwloxNFE,numpy_array_manipulation,Start using NumPy in 5 minutes! 🔢,1,2,5,0,5
1qz7qUM6yUI,numpy_array_manipulation,NumPy Full Course (2025) | NumPy Python Tutorial For Beginners | Learn NumPy in 2 Hours |Intellipaat,4,3,5,5,5
a8aDcLk4vRc,numpy_array_manipulation,numpy tutorial - basic array operations,4,3,3,1,5
SqhVpJSHuyI,numpy_array_manipulation,What is Numpy and Why?,1,3,3,0,4
uRsE5WGiKWo,numpy_array_manipulation,NumPy for Beginners in 15 minutes | Python Crash Course,3,3,3,2,5
0Ef84hdxlTI,numpy_array_manipulation,How to create a Numpy Array in Python | Complete Guide | Examples | 2021 | Amit Thinks,1,1,1,0,1
4uFs1qouPEI,numpy_array_manipulation,11 - numpy arrays,4,3,3,0,5
Rldzskbnjgo,numpy_array_manipulation,ARRAYS in Python - Start Here!,2,2,5,1,5
biLz7KPgHJA,numpy_array_manipulation,Numpy Tutorial - Introduction to  Arrays in Python,3,2,5,0,5
G14STCiT2Jw,numpy_array_manipulation,"Python Tutorial: Learn Numpy - Array Indexing & Creation, Basic & Advanced Operations in 20 Minutes",4,2,3,2,5
tdWLrmnayBI,numpy_array_manipulation,Python NumPy | Array,2,2,4,0,5
AAS8yoKuK7M,numpy_array_manipulation,NUMPY Arrays Tutorial in Jupyter with examples,4,2,3,1,5
KJlHh8mBQyY,numpy_array_manipulation,Python for Data Analysis: Numpy Arrays,4,3,2,1,4
l6Vsu5SX_Wc,numpy_array_manipulation,Unknown,1,1,1,0,1
NTsWJm6TuW0,numpy_array_manipulation,NumPy Array Manipulation Tutorial - Learn to Manipulate Arrays in Python,4,2,2,0,5
dQrYF8w6DTk,numpy_array_manipulation,Mastering NumPy Array Manipulation Techniques,4,2,3,1,2
bw4uM_UF2DU,numpy_array_manipulation,"NumPy Array Complete Basic Tutorial: 1D, 2D, 3D array Manipulation, slicing, indexing, concatenation",4,3,3,2,5
JTO2ED5Vr0Q,numpy_array_manipulation,"Numpy Array Shape Manipulation using Reshape, Ravel, and Flatten",3,3,3,0,5
uIfV2XPyKOo,numpy_array_manipulation,NumPy LT3: Array Manipulation Part 1,4,3,3,3,4
Ss9ZYxlP8LM,numpy_array_manipulation,Unknown,1,1,1,0,1
E6aL4mbTzmg,numpy_array_manipulation,Python Numpy Tutorial 3 - Array Manipulation,2,3,3,0,4
uDiNB55nBZU,numpy_array_manipulation,Python Numpy - array manipulation #10,1,1,1,0,1
HDU0AcayfCo,numpy_array_manipulation,024 - Array Manipulation in Python with NumPy: Essential Techniques & Examples,2,3,3,0,5
biSYY7_Ajtw,numpy_array_manipulation,Creating and Manipulating NumPy Arrays | Tech NS Arena,1,2,3,0,5
wSerhE26qlU,numpy_array_manipulation,"NumPy Array Manipulation || Master NumPy in 45min || Methods : Reshape, Transpose, Insert, Delete...",3,3,3,0,3
4F-YLuTg1uk,numpy_array_manipulation,Array Manipulation | Transpose | Numpy Library | Python Tutorial,1,1,1,0,1
gGw8Lf_Y6Ic,numpy_array_manipulation,05  NymPy | Numerical Python | 3-Dimensional Image Array Manipulation: AI and ML Foundations,4,3,3,4,4
9XcvvNFWeI0,numpy_array_manipulation,Another Numpy Array Manipulation Problem - Method 1,1,3,3,0,5
KHoEbRH46Zk,numpy_array_manipulation,NumPy vs Pandas,1,2,3,0,5
aegyF26ppP4,numpy_array_manipulation,Unknown,1,1,1,0,1
eClQWW_gbFk,numpy_array_manipulation,NumPy Explained - Full Course (3 Hrs),4,3,3,11,5
4c_mwnYdbhQ,numpy_array_manipulation,NumPy Full Python Course - Data Science Fundamentals,4,3,3,5,5
gnKbAAVUzro,numpy_array_manipulation,Intro To Numpy - Numpy For Machine Learning 1,1,2,3,0,5
JbB8CQJIaNo,numpy_array_manipulation,Unknown,1,1,1,0,1
nRkHDb0AAL8,numpy_array_manipulation,Unknown,1,1,1,0,1
XC_j0cr_a8U,numpy_array_manipulation,"Numpy Array - Sum, Axes and Dimensions",1,1,1,0,1
-cuhXbg8UBI,numpy_array_manipulation,Learn Python NumPy #3 - Array Math Operations,1,2,3,0,5
E1IPJOd7dWQ,numpy_array_manipulation,NumPy Operations - Ultimate Guide to Methods and Functions for Beginners!,3,3,3,1,5
4qyjiMD3Ii0,numpy_array_manipulation,Common Python Libraries- NumPy - Array Operations,3,3,3,3,5
