video_id,skill_id,batch_id
lLRBYKwP8GQ,numpy_array_manipulation,2025-11-07-static-v1
xECXZ3tyONo,numpy_array_manipulation,2025-11-07-static-v1
QUT1VHiLmmI,numpy_array_manipulation,2025-11-07-static-v1
9fcTq8PDWWA,numpy_array_manipulation,2025-11-07-static-v1
VXU4LSAQDSc,numpy_array_manipulation,2025-11-07-static-v1
rN0TREj8G7U,numpy_array_manipulation,2025-11-07-static-v1
NYPKbmE0H6E,numpy_array_manipulation,2025-11-07-static-v1
EnhgbolbEe0,numpy_array_manipulation,2025-11-07-static-v1
CVyIbakZVEM,numpy_array_manipulation,2025-11-07-static-v1
8JfDAm9y_7s,numpy_array_manipulation,2025-11-07-static-v1
Gc-dwloxNFE,numpy_array_manipulation,2025-11-07-static-v1
1qz7qUM6yUI,numpy_array_manipulation,2025-11-07-static-v1
a8aDcLk4vRc,numpy_array_manipulation,2025-11-07-static-v1
SqhVpJSHuyI,numpy_array_manipulation,2025-11-07-static-v1
uRsE5WGiKWo,numpy_array_manipulation,2025-11-07-static-v1
0Ef84hdxlTI,numpy_array_manipulation,2025-11-07-static-v1
4uFs1qouPEI,numpy_array_manipulation,2025-11-07-static-v1
Rldzskbnjgo,numpy_array_manipulation,2025-11-07-static-v1
biLz7KPgHJA,numpy_array_manipulation,2025-11-07-static-v1
G14STCiT2Jw,numpy_array_manipulation,2025-11-07-static-v1
tdWLrmnayBI,numpy_array_manipulation,2025-11-07-static-v1
AAS8yoKuK7M,numpy_array_manipulation,2025-11-07-static-v1
KJlHh8mBQyY,numpy_array_manipulation,2025-11-07-static-v1
l6Vsu5SX_Wc,numpy_array_manipulation,2025-11-07-static-v1
NTsWJm6TuW0,numpy_array_manipulation,2025-11-07-static-v1
dQrYF8w6DTk,numpy_array_manipulation,2025-11-07-static-v1
bw4uM_UF2DU,numpy_array_manipulation,2025-11-07-static-v1
JTO2ED5Vr0Q,numpy_array_manipulation,2025-11-07-static-v1
uIfV2XPyKOo,numpy_array_manipulation,2025-11-07-static-v1
Ss9ZYxlP8LM,numpy_array_manipulation,2025-11-07-static-v1
E6aL4mbTzmg,numpy_array_manipulation,2025-11-07-static-v1
uDiNB55nBZU,numpy_array_manipulation,2025-11-07-static-v1
HDU0AcayfCo,numpy_array_manipulation,2025-11-07-static-v1
biSYY7_Ajtw,numpy_array_manipulation,2025-11-07-static-v1
wSerhE26qlU,numpy_array_manipulation,2025-11-07-static-v1
4F-YLuTg1uk,numpy_array_manipulation,2025-11-07-static-v1
gGw8Lf_Y6Ic,numpy_array_manipulation,2025-11-07-static-v1
9XcvvNFWeI0,numpy_array_manipulation,2025-11-07-static-v1
KHoEbRH46Zk,numpy_array_manipulation,2025-11-07-static-v1
aegyF26ppP4,numpy_array_manipulation,2025-11-07-static-v1
eClQWW_gbFk,numpy_array_manipulation,2025-11-07-static-v1
4c_mwnYdbhQ,numpy_array_manipulation,2025-11-07-static-v1
gnKbAAVUzro,numpy_array_manipulation,2025-11-07-static-v1
JbB8CQJIaNo,numpy_array_manipulation,2025-11-07-static-v1
nRkHDb0AAL8,numpy_array_manipulation,2025-11-07-static-v1
XC_j0cr_a8U,numpy_array_manipulation,2025-11-07-static-v1
-cuhXbg8UBI,numpy_array_manipulation,2025-11-07-static-v1
E1IPJOd7dWQ,numpy_array_manipulation,2025-11-07-static-v1
4qyjiMD3Ii0,numpy_array_manipulation,2025-11-07-static-v1
xd0A6xmgYbs,numpy_array_manipulation,2025-11-07-static-v1
oud3Jd1FJ7c,numpy_array_manipulation,2025-11-07-static-v1
CGCPOhwtZEs,numpy_array_manipulation,2025-11-07-static-v1
A8nAVCM_BWo,numpy_array_manipulation,2025-11-07-static-v1
bDhvCp3_lYw,pandas_data_cleaning,2025-11-07-static-v1
5eYTaYHzoEE,pandas_data_cleaning,2025-11-07-static-v1
iaZQF8SLHJs,pandas_data_cleaning,2025-11-07-static-v1
MDaMmWBI-S8,pandas_data_cleaning,2025-11-07-static-v1
qxpKCBV60U4,pandas_data_cleaning,2025-11-07-static-v1
Ck0QgwiCEIs,pandas_data_cleaning,2025-11-07-static-v1
KdmPHEnPJPs,pandas_data_cleaning,2025-11-07-static-v1
jFIiTR4PKpQ,pandas_data_cleaning,2025-11-07-static-v1
2uvysYbKdjM,pandas_data_cleaning,2025-11-07-static-v1
aegyF26ppP4,pandas_data_cleaning,2025-11-07-static-v1
WpX2F2BS3Qc,pandas_data_cleaning,2025-11-07-static-v1
Mdq1WWSdUtw,pandas_data_cleaning,2025-11-07-static-v1
mkYBJwX_dMs,pandas_data_cleaning,2025-11-07-static-v1
xi0vhXFPegw,pandas_data_cleaning,2025-11-07-static-v1
GjAkPirfHBA,pandas_data_cleaning,2025-11-07-static-v1
cAap5kVnpLM,pandas_data_cleaning,2025-11-07-static-v1
OEzg2WwlDcg,pandas_data_cleaning,2025-11-07-static-v1
aehDav2peFU,pandas_data_cleaning,2025-11-07-static-v1
ZX8vmcSTCrc,pandas_data_cleaning,2025-11-07-static-v1
hnGuedS-Rss,pandas_data_cleaning,2025-11-07-static-v1
I7DZP4rVQOU,pandas_data_cleaning,2025-11-07-static-v1
Vbe2GaWGKgk,pandas_data_cleaning,2025-11-07-static-v1
GNgutUElOTk,pandas_data_cleaning,2025-11-07-static-v1
7qcfWbIOyPI,pandas_data_cleaning,2025-11-07-static-v1
VqYQCm1ZyRY,pandas_data_cleaning,2025-11-07-static-v1
b0oTpOq27o4,pandas_data_cleaning,2025-11-07-static-v1
tRKeLrwfUgU,pandas_data_cleaning,2025-11-07-static-v1
L3xcimk8GpM,pandas_data_cleaning,2025-11-07-static-v1
3lcJl4hhW9c,pandas_data_cleaning,2025-11-07-static-v1
EeWMidT9JMs,pandas_data_cleaning,2025-11-07-static-v1
ARMdSL4WI88,pandas_data_cleaning,2025-11-07-static-v1
LdeP61l_nQA,pandas_data_cleaning,2025-11-07-static-v1
w_CMEOtz8uQ,pandas_data_cleaning,2025-11-07-static-v1
QbOE-LCY4Hs,pandas_data_cleaning,2025-11-07-static-v1
EaGbS7eWSs0,pandas_data_cleaning,2025-11-07-static-v1
TQ1g6wZkYI4,pandas_data_cleaning,2025-11-07-static-v1
MsoCTcaLbZY,pandas_data_cleaning,2025-11-07-static-v1
uDr67HBIPz8,pandas_data_cleaning,2025-11-07-static-v1
wUuILD-3VJU,pandas_data_cleaning,2025-11-07-static-v1
AbBZYHNYFaY,pandas_data_cleaning,2025-11-07-static-v1
YxZ0D_PRN2w,pandas_data_cleaning,2025-11-07-static-v1
fCMrO_VzeL8,pandas_data_cleaning,2025-11-07-static-v1
Z_SQ6nj1pvs,pandas_data_cleaning,2025-11-07-static-v1
E1_pHKOfUxA,pandas_data_cleaning,2025-11-07-static-v1
csG53mxVdk8,pandas_data_cleaning,2025-11-07-static-v1
nQ8mx4zN6SM,pandas_data_cleaning,2025-11-07-static-v1
XOxABiMhG2U,pandas_data_cleaning,2025-11-07-static-v1
QVJY4qJ5-YE,pandas_data_cleaning,2025-11-07-static-v1
LXMLq-bke5w,pandas_data_cleaning,2025-11-07-static-v1
u8N5B-nXhKc,pandas_data_cleaning,2025-11-07-static-v1
LAh3cagKZ6E,pandas_data_cleaning,2025-11-07-static-v1
p51jngaf0g4,pandas_data_cleaning,2025-11-07-static-v1
TSzJUF-Prbg,pandas_data_cleaning,2025-11-07-static-v1
IVZYSLzZHs0,pandas_data_cleaning,2025-11-07-static-v1
yvgVHk9ntKQ,pandas_data_cleaning,2025-11-07-static-v1
vSyymtg_BVw,pandas_data_cleaning,2025-11-07-static-v1
DkjCaAMBGWM,pandas_data_cleaning,2025-11-07-static-v1
DXNBYtpwB_g,pandas_data_cleaning,2025-11-07-static-v1
RFMXrKK15xo,pandas_data_cleaning,2025-11-07-static-v1
q5zEmfzzWbQ,pandas_data_cleaning,2025-11-07-static-v1
6rDqwji7eMc,pandas_data_cleaning,2025-11-07-static-v1
REdEQdmvMa0,pandas_data_cleaning,2025-11-07-static-v1
LSH1tkTmCvM,pandas_data_cleaning,2025-11-07-static-v1
gtjxAH8uaP0,pandas_data_cleaning,2025-11-07-static-v1
dMq7fnKU-Z4,pandas_data_cleaning,2025-11-07-static-v1
U_xMLEnGivg,pandas_data_cleaning,2025-11-07-static-v1
_Eb0utIRdkw,pandas_data_cleaning,2025-11-07-static-v1
w2cx9BEiq1U,pandas_data_cleaning,2025-11-07-static-v1
m6ucljvcn9c,pandas_data_cleaning,2025-11-07-static-v1
OZOOLe2imFo,matplotlib_visualization,2025-11-07-static-v1
D4VlmL3G4_o,matplotlib_visualization,2025-11-07-static-v1
wB9C0Mz9gSo,matplotlib_visualization,2025-11-07-static-v1
UO98lJQ3QGI,matplotlib_visualization,2025-11-07-static-v1
3Xc3CA655Y4,matplotlib_visualization,2025-11-07-static-v1
c9vhHUGdav0,matplotlib_visualization,2025-11-07-static-v1
qErBw-R2Ybk,matplotlib_visualization,2025-11-07-static-v1
cTJBJH8hacc,matplotlib_visualization,2025-11-07-static-v1
DAQNHzOcO5A,matplotlib_visualization,2025-11-07-static-v1
xXibS9832FM,matplotlib_visualization,2025-11-07-static-v1
nzKy9GY12yo,matplotlib_visualization,2025-11-07-static-v1
0P7QnIQDBJY,matplotlib_visualization,2025-11-07-static-v1
a9UrKTVEeZA,matplotlib_visualization,2025-11-07-static-v1
SyeQhJF4ny0,matplotlib_visualization,2025-11-07-static-v1
qqwf4Vuj8oM,matplotlib_visualization,2025-11-07-static-v1
2KY5AaFvWtE,matplotlib_visualization,2025-11-07-static-v1
gvn8RIG38CM,matplotlib_visualization,2025-11-07-static-v1
DFBkTIhptOQ,matplotlib_visualization,2025-11-07-static-v1
yZTBMMdPOww,matplotlib_visualization,2025-11-07-static-v1
q7Bo_J8x_dw,matplotlib_visualization,2025-11-07-static-v1
2mCIcm8xau0,matplotlib_visualization,2025-11-07-static-v1
czQO1_GEEos,matplotlib_visualization,2025-11-07-static-v1
4O_o53ag3ag,matplotlib_visualization,2025-11-07-static-v1
l3uEbSXE6cY,matplotlib_visualization,2025-11-07-static-v1
jNiQaErXg8s,matplotlib_visualization,2025-11-07-static-v1
UZDP9IPMqcs,matplotlib_visualization,2025-11-07-static-v1
hkU4_fyZo40,matplotlib_visualization,2025-11-07-static-v1
MbKrSmoMads,matplotlib_visualization,2025-11-07-static-v1
ehlmVfPACFc,matplotlib_visualization,2025-11-07-static-v1
09ja09E9ThE,matplotlib_visualization,2025-11-07-static-v1
50SGBO3Psqk,matplotlib_visualization,2025-11-07-static-v1
SIlLbTon6V0,matplotlib_visualization,2025-11-07-static-v1
X69y9N65Iu8,matplotlib_visualization,2025-11-07-static-v1
ugBTczoyFRo,matplotlib_visualization,2025-11-07-static-v1
aegyF26ppP4,matplotlib_visualization,2025-11-07-static-v1
Ercd-Ip5PfQ,matplotlib_visualization,2025-11-07-static-v1
0QLJduh1MNM,matplotlib_visualization,2025-11-07-static-v1
zNhq_oCTPcM,matplotlib_visualization,2025-11-07-static-v1
FN78JowwpSY,matplotlib_visualization,2025-11-07-static-v1
4qq7W4_V5pI,matplotlib_visualization,2025-11-07-static-v1
pgU1vYKeoaE,matplotlib_visualization,2025-11-07-static-v1
8Hnvd_cjKIw,matplotlib_visualization,2025-11-07-static-v1
4uHye1tSQP8,matplotlib_visualization,2025-11-07-static-v1
-jTD74eEy2I,matplotlib_visualization,2025-11-07-static-v1
uF0BAYfyqFo,matplotlib_visualization,2025-11-07-static-v1
r-uOLxNrNk8,matplotlib_visualization,2025-11-07-static-v1
0B5eIE_1vpU,sklearn_model_training,2025-11-07-static-v1
SW0YGA9d8y8,sklearn_model_training,2025-11-07-static-v1
-IvNzmrcyUM,sklearn_model_training,2025-11-07-static-v1
SIEaLBXr0rk,sklearn_model_training,2025-11-07-static-v1
M9Itm95JzL0,sklearn_model_training,2025-11-07-static-v1
pqNCD_5r0IU,sklearn_model_training,2025-11-07-static-v1
B5VFg5l6rRs,sklearn_model_training,2025-11-07-static-v1
7z8-QWlbmoo,sklearn_model_training,2025-11-07-static-v1
RiEpSd4j0vE,sklearn_model_training,2025-11-07-static-v1
0Lt9w-BxKFQ,sklearn_model_training,2025-11-07-static-v1
t3ecaDij_pU,sklearn_model_training,2025-11-07-static-v1
bwZ3Qiuj3i8,sklearn_model_training,2025-11-07-static-v1
ccukQiz2X5o,sklearn_model_training,2025-11-07-static-v1
DSI5bcxeBvc,sklearn_model_training,2025-11-07-static-v1
TpmDITl8Qwk,sklearn_model_training,2025-11-07-static-v1
xIqX1dqcNbY,sklearn_model_training,2025-11-07-static-v1
oFa8NvTLkKE,sklearn_model_training,2025-11-07-static-v1
hDKCxebp88A,sklearn_model_training,2025-11-07-static-v1
SjOfbbfI2qY,sklearn_model_training,2025-11-07-static-v1
0tv6ehKCZJQ,sklearn_model_training,2025-11-07-static-v1
777Qb0gHuJU,sklearn_model_training,2025-11-07-static-v1
_QuGM_FW9eo,sklearn_model_training,2025-11-07-static-v1
qNxrPri1V0I,sklearn_model_training,2025-11-07-static-v1
aL21Y-u0SRs,sklearn_model_training,2025-11-07-static-v1
CVszSgTWODE,sklearn_model_training,2025-11-07-static-v1
RlQuVL6-qe8,sklearn_model_training,2025-11-07-static-v1
-8s9KuNo5SA,sklearn_model_training,2025-11-07-static-v1
29ZQ3TDGgRQ,sklearn_model_training,2025-11-07-static-v1
BotYLBQfd5M,sklearn_model_training,2025-11-07-static-v1
XmSlFPDjKdc,sklearn_model_training,2025-11-07-static-v1
ib7-rrG4gIA,sklearn_model_training,2025-11-07-static-v1
ETChs4iQa8g,sklearn_model_training,2025-11-07-static-v1
QSoEWNJg3B4,sklearn_model_training,2025-11-07-static-v1
8zrnT1693_4,sklearn_model_training,2025-11-07-static-v1
tJ2SlPcYdc0,sklearn_model_training,2025-11-07-static-v1
acXmk4Bx8pI,sklearn_model_training,2025-11-07-static-v1
il8dMDlXrIE,sklearn_model_training,2025-11-07-static-v1
MSAw7Q-ffsY,sklearn_model_training,2025-11-07-static-v1
85dtiMz9tSo,sklearn_model_training,2025-11-07-static-v1
QVuSQJBSEGM,sklearn_model_training,2025-11-07-static-v1
6rpz0NSErSQ,sklearn_model_training,2025-11-07-static-v1
RJs-KNrwYKY,sklearn_model_training,2025-11-07-static-v1
XWx8sjTkiuQ,sklearn_model_training,2025-11-07-static-v1
lzXKsY3bANw,sklearn_model_training,2025-11-07-static-v1
57duf16I74c,sklearn_model_training,2025-11-07-static-v1
